r1_id,year,anzahl_haushalte,arbeitslosenquote,anteil_oberklassewagen,kaufkraft_pro_haushalt,anteil_efh,anteil_mfh,anteil_wohnblock,anteil_auslaender,kreditrisiko,anteil_60_plus
4531_3260,2005,72,5.67000007629395,5.3899998664856,46702.02777777778,29.17000067234039,29.16000080108641,37.5,4.459999084472699,0.4861555635929114,25.029999971389767
4532_3259,2005,483,8,7.99000024795533,44821.565217391304,60.2499980926514,24.849999427795403,12.0100002288818,2.989997863769503,0.34203333470556485,29.07000017166138
4532_3260,2005,146,7.11999988555908,9.710000395774845,43465.856164383564,32.869998633861556,60.280000686645494,6.15999984741211,4.510002136230497,0.6613444405131874,21.440000295639038
4532_3261,2005,NA,0,2.6800000667572,NA,100,0,0,4.8199996948242045,0.1111111111111111,37.94000005722047
4532_3262,2005,10,8,3.85999989509583,41522.3,70,30,0,3.3399963378905966,0.1111111111111111,33.54999947547911
4532_3264,2005,401,1,5.990000247955327,52542.51122194514,47.8799991607666,27.9300003051758,21.94000077247614,3.5299987792969034,0.484333335823483,30.59000062942504
4532_3265,2005,179,3.08999991416931,11.019999742507931,54704.13966480447,75.42000198364249,18.43000030517583,3.91000008583069,4.059997558593807,0.3004777782493168,30.94000029563903
4532_3266,2005,595,4.28999996185303,11.39999985694885,50347.57647058823,51.59999847412111,32.6099996566772,13.95000004768372,4.610000610351605,0.45327778339386016,27.53999996185303
4532_3267,2005,224,4.75,7.520000219345097,46037.174107142855,67.8600006103515,31.2500002384186,0,3.4700012207030966,0.5460555436876087,26.110000133514397
4532_3272,2005,NA,9,4.23999977111816,NA,37.5,62.5,0,3.0899963378905966,0.8611111111111112,16.5700000524521
4532_3273,2005,42,6,3.13000011444092,39418.833333333336,42.859998703003,57.1399993896484,0,5.8199996948242045,0.5396777682834203,17.429999947547913
4532_3274,2005,19,2,2.700000047683716,41190.15789473684,73.67999935150141,26.3199996948242,0,5.260002136230497,0.43268889321221266,15.4500000476837
4532_3275,2005,41,8.05000019073486,4.300000175833705,39854.560975609755,92.68000030517581,4.88000011444092,0,4.699996948242202,0.21678888956705705,19.22000002861023
4533_3257,2005,844,8.39999961853027,5.109999954700469,39871.79502369668,43.0100002288819,18.96000051498416,32.82000064849852,4.400001525878906,0.4435444376203749,25.030000209808357
4533_3258,2005,514,6.84000015258789,8.779999852180481,42719.84435797665,25.67999911308293,43,23.73000001907345,3.209999084472699,0.48336667458216365,29.78999996185304
4533_3259,2005,57,8,15.03000020980833,42555.98245614035,26.31999945640566,49.119999885559096,22.8099994659424,3.1800003051757955,0.49710000991821274,25.83000016212463
4533_3260,2005,61,0,13.6899995803833,54404.934426229505,13.1099996566772,47.5499992370605,16.3899993896484,4.8199996948242045,0.4589444351196284,37.94000005722047
4533_3261,2005,NA,0,2.6800000667572,NA,100,0,0,4.8199996948242045,0.1111111111111111,37.94000005722047
4533_3262,2005,NA,3,6.13000011444092,NA,100,0,0,4.809997558593807,0.7777777777777778,36.920000076293945
4533_3263,2005,87,0.0099999997764826,14.74000024795532,60115.2183908046,77.0100021362305,22.9800004959107,0,2.889999389648395,0.2401444474856056,28.12000060081482
4533_3264,2005,963,0.330000013113022,10.00000047683716,56386.958463136034,73,23.98999977111816,2.07999992370606,3.1600036621094034,0.4208666692839725,29.89000058174133
4533_3265,2005,1201,0.25,12.67000007629394,56795.72855953372,73.689998626709,24.3999996185303,0.75,3.0299987792969034,0.3405333320299783,34.129999876022325
4533_3266,2005,913,0.600000023841858,12.22999978065491,56692.09419496167,71.0800018310547,22.46000099182124,5.90999984741211,3.6500015258789062,0.34534444411595683,33.459999799728394
4533_3267,2005,193,0.129999995231628,12.950000047683691,53113.25906735751,66.8400020599365,22.279999971389728,10.3599996566772,3.4100036621094034,0.4974666704071892,28.770000457763658
4533_3268,2005,35,8,9.46000003814697,41651.34285714286,0,0,100,3.540000915527301,0.4444444444444444,24.38000011444092
4533_3272,2005,256,6,7.780000090599062,45947.0703125,80.4700012207032,17.1900005340576,0,5.8199996948242045,0.5538666730456883,17.429999947547913
4533_3273,2005,807,6.17000007629395,6.499999821186069,40540.38166047088,30.97999906539917,41.760001182556195,25.77999925613409,5.989997863769503,0.7284222141901656,17.79999995231629
4533_3274,2005,716,3.4300000667572,5.759999841451647,42018.45111731844,71.7900009155274,27.2300004959107,0,5.089996337890597,0.5441777796215489,17.98999989032746
4533_3275,2005,1214,3.98000001907349,6.03000020980835,41930.34678747941,68.5399990081787,23.14999961853033,7.07999992370605,4.9300003051757955,0.5574333265092635,17.75000023841859
4533_3276,2005,1616,9.85999965667725,6.239999949932094,38022.65037128713,27.4200000762939,43.3200006484986,28.15000009536743,4.220001220703097,0.595800004005432,23.40000009536742
4533_3279,2005,15,1,8.37999999523163,45295.066666666666,80,20,0,3.620002746582003,0.1111111111111111,33.75000047683716
4533_3280,2005,206,11,5.13000011444092,38259.2427184466,86.3999977111817,13.10000038146973,0,2.010002136230497,0.3797111113866173,22.07000029087068
4534_3257,2005,1580,7.59000015258789,4.610000044107438,38003.674683544305,23.10000038146978,33.99000072479246,42.2199993133545,2.610000610351605,0.5961000002755057,27.80999970436097
4534_3258,2005,511,5.46000003814697,8.07999980449677,40392.84735812133,24.27000045776369,45.3999996185303,28.9599990844727,4.790000915527301,0.5747444307804108,25.090000391006477
4534_3259,2005,46,0,11.26999998092651,58169.739130434784,60.869998931884695,32.6099996566772,0,4.050003051757798,0.5458999967575072,30.37000036239625
4534_3260,2005,1148,0.239999994635582,8.78999984264374,57383.93466898955,45.1200008392334,41.0300006866455,12.8000001907349,4.410003662109403,0.37566666550106464,34.62000036239624
4534_3261,2005,145,0.519999980926514,5.4700000286102295,58300.31724137931,42.75999927520749,43.4500007629395,13.789999961853,4.540000915527301,0.31040000067816825,36.630000591278076
4534_3264,2005,774,0.340000003576279,10.150000333786009,55618.104651162794,55.4199991226197,36.8300008773804,5.80999994277954,3,0.3981777784559463,32.21000027656556
4534_3265,2005,851,1.75,8.430000007152554,51666.09048178614,78.5,15.980000257492069,4,3.5500030517577983,0.29737778133816184,33.30999970436096
4534_3266,2005,16,2.25,15.20000028610229,51526.3125,68.75,31.25,0,3.1999969482422017,0.7222222222222222,29.440000057220452
4534_3267,2005,64,0,5.46000003814697,46569.71875,85.9400024414062,14.0600004196167,0,3.3499984741210938,0.23617778248257096,35.90999984741211
4534_3268,2005,67,0.0599999986588955,3.9700000658631303,49608.65671641791,100.00000214576724,0,0,3.379997253417997,0.17412221855587423,35.84000015258788
4534_3271,2005,NA,9,3.27999997138977,NA,0,100,0,0,1,19.89000034332276
